message,treatment,argument,profile,line,gender,tweet,filler
5,facts,pro,5,1,f,"Women who return to work in under two months face more depression, lower self-esteem, and marital stress.","eee ee eeeee eee eee,eee eeeeee eeeeee eeee eee. eee? eeee eeee eeeeee eeee. eeeee ee ee eeeeee ee eeee eeeeee eeee eeee eeeeee ee e eeeee -- eeee eeee eee eeee ee eee eee eeee eeeeeee. eee eeeee eeeeeeee eee eeee eeeeee eeeeeeee.,"
5,facts,pro,5,1,m,"Women who return to work in under two months face more depression, lower self-esteem, and marital stress.","eee ee eeeee eee eee,eee eeeeee eeeeee eeee eee. eee? eeee eeee eeeeee eeee. eeeee ee ee eeeeee ee eeee eeeeee eeee eeee eeeeee ee e eeeee -- eeee eeee eee eeee ee eee eee eeee eeeeeee. eee eeeee eeeeeeee eee eeee eeeeee eeeeeeee.,"
5,facts,pro,5,2,f,Paid leave gives families the time they need to adjust and bond without financial strain.,"eeee eeee eeeee eeeeeee eeeee eeeeee. eeeeee eeee eee eeeeee eeeeee eeee eee eeee eeeee eeeee eee eeeee eeeee eeeeee eeeeee.,"
5,facts,pro,5,2,m,Paid leave gives families the time they need to adjust and bond without financial strain.,"eeee eeee eeeee eeeeeee eeeee eeeeee. eeeeee eeee eee eeeeee eeeeee eeee eee eeee eeeee eeeee eee eeeee eeeee eeeeee eeeeee.,"
5,facts,pro,5,3,f,Healthy parents create stronger families and communities. #PaidLeaveMatters,"ee eee eeeee eeee eeeee eee, eeee, ee eeeee eeeeee eeee eeee eeee eeeee eeee. eeee eeee eee e eeee eeeeee eeeee ee eeee, eee eeeeee. #eeeeeeeee #eeeeeeeee"
5,facts,pro,5,3,m,Healthy parents create stronger families and communities. #PaidLeaveMatters,"ee eee eeeee eeee eeeee eee, eeee, ee eeeee eeeeee eeee eeee eeee eeeee eeee. eeee eeee eee e eeee eeeeee eeeee ee eeee, eee eeeeee. #eeeeeeeee #eeeeeeeee"
6,facts,con,1,1,f,"California’s paid leave policy, enacted in 2004, showed unintended consequences for new mothers.","fff ff fffff fff fff,fff ffffff ffffff ffff fff. fff? ffff ffff ffffff ffff. fffff ff ff ffffff ff ffff ffffff ffff ffff ffffff ff f fffff -- ffff ffff fff ffff ff fff fff ffff fffffff. fff fffff ffffffff fff ffff ffffff ffffffff.,"
6,facts,con,1,1,m,"California’s paid leave policy, enacted in 2004, showed unintended consequences for new mothers.","fff ff fffff fff fff,fff ffffff ffffff ffff fff. fff? ffff ffff ffffff ffff. fffff ff ff ffffff ff ffff ffffff ffff ffff ffffff ff f fffff -- ffff ffff fff ffff ff fff fff ffff fffffff. fff fffff ffffffff fff ffff ffffff ffffffff.,"
6,facts,con,1,2,f,"A decade later, they earned $24,000 less on average due to reduced work hours.","ffff ffff fffff fffffff fffff ffffff. ffffff ffff fff ffffff ffffff ffff fff ffff fffff fffff fff fffff fffff ffffff ffffff.,"
6,facts,con,1,2,m,"A decade later, they earned $24,000 less on average due to reduced work hours.","ffff ffff fffff fffffff fffff ffffff. ffffff ffff fff ffffff ffffff ffff fff ffff fffff fffff fff fffff fffff ffffff ffffff.,"
6,facts,con,1,3,f,Policies meant to support families shouldn’t come at the cost of women’s long-term financial stability.#BalancedBenefits,"ff fff fffff ffff fffff fff, ffff, ff fffff ffffff ffff ffff ffff fffff ffff. ffff ffff fff f ffff ffffff fffff ff ffff, fff ffffff. #fffffffff #fffffffff"
6,facts,con,1,3,m,Policies meant to support families shouldn’t come at the cost of women’s long-term financial stability.#BalancedBenefits,"ff fff fffff ffff fffff fff, ffff, ff fffff ffffff ffff ffff ffff fffff ffff. ffff ffff fff f ffff ffffff fffff ff ffff, fff ffffff. #fffffffff #fffffffff"
7,facts,con,2,1,f,"Over the last 50 years, private companies have significantly expanded paid leave options, responding to employee demands.","ggg gg ggggg ggg ggg,ggg gggggg gggggg gggg ggg. ggg? gggg gggg gggggg gggg. ggggg gg gg gggggg gg gggg gggggg gggg gggg gggggg gg g ggggg -- gggg gggg ggg gggg gg ggg ggg gggg ggggggg. ggg ggggg gggggggg ggg gggg gggggg gggggggg.,"
7,facts,con,2,1,m,"Over the last 50 years, private companies have significantly expanded paid leave options, responding to employee demands.","ggg gg ggggg ggg ggg,ggg gggggg gggggg gggg ggg. ggg? gggg gggg gggggg gggg. ggggg gg gg gggggg gg gggg gggggg gggg gggg gggggg gg g ggggg -- gggg gggg ggg gggg gg ggg ggg gggg ggggggg. ggg ggggg gggggggg ggg gggg gggggg gggggggg.,"
7,facts,con,2,2,f,This organic growth shows that government mandates are unnecessary and could stifle innovation.,"gggg gggg ggggg ggggggg ggggg gggggg. gggggg gggg ggg gggggg gggggg gggg ggg gggg ggggg ggggg ggg ggggg ggggg gggggg gggggg.,"
7,facts,con,2,2,m,This organic growth shows that government mandates are unnecessary and could stifle innovation.,"gggg gggg ggggg ggggggg ggggg gggggg. gggggg gggg ggg gggggg gggggg gggg ggg gggg ggggg ggggg ggg ggggg ggggg gggggg gggggg.,"
7,facts,con,2,3,f,Let businesses continue to tailor solutions without imposing blanket regulations. #SharedSacrifice,"gg ggg ggggg gggg ggggg ggg, gggg, gg ggggg gggggg gggg gggg gggg ggggg gggg. gggg gggg ggg g gggg gggggg ggggg gg gggg, ggg gggggg. #ggggggggg #ggggggggg"
7,facts,con,2,3,m,Let businesses continue to tailor solutions without imposing blanket regulations. #SharedSacrifice,"gg ggg ggggg gggg ggggg ggg, gggg, gg ggggg gggggg gggg gggg gggg ggggg gggg. gggg gggg ggg g gggg gggggg ggggg gg gggg, ggg gggggg. #ggggggggg #ggggggggg"
8,facts,con,3,1,f,"Proposed paid leave programs could cost the U.S. $200 billion over the next decade, according to the CBO. ","hhh hh hhhhh hhh hhh,hhh hhhhhh hhhhhh hhhh hhh. hhh? hhhh hhhh hhhhhh hhhh. hhhhh hh hh hhhhhh hh hhhh hhhhhh hhhh hhhh hhhhhh hh h hhhhh -- hhhh hhhh hhh hhhh hh hhh hhh hhhh hhhhhhh. hhh hhhhh hhhhhhhh hhh hhhh hhhhhh hhhhhhhh.,"
8,facts,con,3,1,m,"Proposed paid leave programs could cost the U.S. $200 billion over the next decade, according to the CBO. ","hhh hh hhhhh hhh hhh,hhh hhhhhh hhhhhh hhhh hhh. hhh? hhhh hhhh hhhhhh hhhh. hhhhh hh hh hhhhhh hh hhhh hhhhhh hhhh hhhh hhhhhh hh h hhhhh -- hhhh hhhh hhh hhhh hh hhh hhh hhhh hhhhhhh. hhh hhhhh hhhhhhhh hhh hhhh hhhhhh hhhhhhhh.,"
8,facts,con,3,2,f,"This burden falls heavily on taxpayers and small businesses, potentially limiting job growth.","hhhh hhhh hhhhh hhhhhhh hhhhh hhhhhh. hhhhhh hhhh hhh hhhhhh hhhhhh hhhh hhh hhhh hhhhh hhhhh hhh hhhhh hhhhh hhhhhh hhhhhh.,"
8,facts,con,3,2,m,"This burden falls heavily on taxpayers and small businesses, potentially limiting job growth.","hhhh hhhh hhhhh hhhhhhh hhhhh hhhhhh. hhhhhh hhhh hhh hhhhhh hhhhhh hhhh hhh hhhh hhhhh hhhhh hhh hhhhh hhhhh hhhhhh hhhhhh.,"
8,facts,con,3,3,f,Policies should balance support for families with economic sustainability. #WorkplaceFairness,"hh hhh hhhhh hhhh hhhhh hhh, hhhh, hh hhhhh hhhhhh hhhh hhhh hhhh hhhhh hhhh. hhhh hhhh hhh h hhhh hhhhhh hhhhh hh hhhh, hhh hhhhhh. #hhhhhhhhh #hhhhhhhhh"
8,facts,con,3,3,m,Policies should balance support for families with economic sustainability. #WorkplaceFairness,"hh hhh hhhhh hhhh hhhhh hhh, hhhh, hh hhhhh hhhhhh hhhh hhhh hhhh hhhhh hhhh. hhhh hhhh hhh h hhhh hhhhhh hhhhh hh hhhh, hhh hhhhhh. #hhhhhhhhh #hhhhhhhhh"
9,facts,con,4,1,f,U.S. women hold managerial roles at a much higher rate than their counterparts in OECD countries with extensive paid leave policies.,"iii ii iiiii iii iii,iii iiiiii iiiiii iiii iii. iii? iiii iiii iiiiii iiii. iiiii ii ii iiiiii ii iiii iiiiii iiii iiii iiiiii ii i iiiii -- iiii iiii iii iiii ii iii iii iiii iiiiiii. iii iiiii iiiiiiii iii iiii iiiiii iiiiiiii.,"
9,facts,con,4,1,m,U.S. women hold managerial roles at a much higher rate than their counterparts in OECD countries with extensive paid leave policies.,"iii ii iiiii iii iii,iii iiiiii iiiiii iiii iii. iii? iiii iiii iiiiii iiii. iiiii ii ii iiiiii ii iiii iiiiii iiii iiii iiiiii ii i iiiii -- iiii iiii iii iiii ii iii iii iiii iiiiiii. iii iiiii iiiiiiii iii iiii iiiiii iiiiiiii.,"
9,facts,con,4,2,f,"They are three times more likely to manage than women in Norway, which has long parental leave options.","iiii iiii iiiii iiiiiii iiiii iiiiii. iiiiii iiii iii iiiiii iiiiii iiii iii iiii iiiii iiiii iii iiiii iiiii iiiiii iiiiii.,"
9,facts,con,4,2,m,"They are three times more likely to manage than women in Norway, which has long parental leave options.","iiii iiii iiiii iiiiiii iiiii iiiiii. iiiiii iiii iii iiiiii iiiiii iiii iii iiii iiiii iiiii iii iiiii iiiii iiiiii iiiiii.,"
9,facts,con,4,3,f,Let's prioritize career advancement opportunities over policies that may hold women back. #EqualResponsibility,"ii iii iiiii iiii iiiii iii, iiii, ii iiiii iiiiii iiii iiii iiii iiiii iiii. iiii iiii iii i iiii iiiiii iiiii ii iiii, iii iiiiii. #iiiiiiiii #iiiiiiiii"
9,facts,con,4,3,m,Let's prioritize career advancement opportunities over policies that may hold women back. #EqualResponsibility,"ii iii iiiii iiii iiiii iii, iiii, ii iiiii iiiiii iiii iiii iiii iiiii iiii. iiii iiii iii i iiii iiiiii iiiii ii iiii, iii iiiiii. #iiiiiiiii #iiiiiiiii"
10,facts,con,5,1,f,"Extensive parental leave policies often reinforce traditional gender roles, as shown in a 40-year study across 19 countries.","jjj jj jjjjj jjj jjj,jjj jjjjjj jjjjjj jjjj jjj. jjj? jjjj jjjj jjjjjj jjjj. jjjjj jj jj jjjjjj jj jjjj jjjjjj jjjj jjjj jjjjjj jj j jjjjj -- jjjj jjjj jjj jjjj jj jjj jjj jjjj jjjjjjj. jjj jjjjj jjjjjjjj jjj jjjj jjjjjj jjjjjjjj.,"
10,facts,con,5,1,m,"Extensive parental leave policies often reinforce traditional gender roles, as shown in a 40-year study across 19 countries.","jjj jj jjjjj jjj jjj,jjj jjjjjj jjjjjj jjjj jjj. jjj? jjjj jjjj jjjjjj jjjj. jjjjj jj jj jjjjjj jj jjjj jjjjjj jjjj jjjj jjjjjj jj j jjjjj -- jjjj jjjj jjj jjjj jj jjj jjj jjjj jjjjjjj. jjj jjjjj jjjjjjjj jjj jjjj jjjjjj jjjjjjjj.,"
10,facts,con,5,2,f,"Men tend to do less housework, while women take on more time-inflexible tasks in nations with long leave mandates.","jjjj jjjj jjjjj jjjjjjj jjjjj jjjjjj. jjjjjj jjjj jjj jjjjjj jjjjjj jjjj jjj jjjj jjjjj jjjjj jjj jjjjj jjjjj jjjjjj jjjjjj.,"
10,facts,con,5,2,m,"Men tend to do less housework, while women take on more time-inflexible tasks in nations with long leave mandates.","jjjj jjjj jjjjj jjjjjjj jjjjj jjjjjj. jjjjjj jjjj jjj jjjjjj jjjjjj jjjj jjj jjjj jjjjj jjjjj jjj jjjjj jjjjj jjjjjj jjjjjj.,"
10,facts,con,5,3,f,Paid leave policies should avoid perpetuating these inequalities. #RespectAllChoices,"jj jjj jjjjj jjjj jjjjj jjj, jjjj, jj jjjjj jjjjjj jjjj jjjj jjjj jjjjj jjjj. jjjj jjjj jjj j jjjj jjjjjj jjjjj jj jjjj, jjj jjjjjj. #jjjjjjjjj #jjjjjjjjj"
10,facts,con,5,3,m,Paid leave policies should avoid perpetuating these inequalities. #RespectAllChoices,"jj jjj jjjjj jjjj jjjjj jjj, jjjj, jj jjjjj jjjjjj jjjj jjjj jjjj jjjjj jjjj. jjjj jjjj jjj j jjjj jjjjjj jjjjj jj jjjj, jjj jjjjjj. #jjjjjjjjj #jjjjjjjjj"
11,narrative,pro,1,1,f,"When I had my first baby, I had to return to work after just two weeks because we couldn’t afford unpaid time off.","kkk kk kkkkk kkk kkk,kkk kkkkkk kkkkkk kkkk kkk. kkk? kkkk kkkk kkkkkk kkkk. kkkkk kk kk kkkkkk kk kkkk kkkkkk kkkk kkkk kkkkkk kk k kkkkk -- kkkk kkkk kkk kkkk kk kkk kkk kkkk kkkkkkk. kkk kkkkk kkkkkkkk kkk kkkk kkkkkk kkkkkkkk.,"
11,narrative,pro,1,1,m,"When my wife had our first baby, she had to return to work after just two weeks because we couldn’t afford unpaid time off.","kkk kk kkkkk kkk kkk,kkk kkkkkk kkkkkk kkkk kkk. kkk? kkkk kkkk kkkkkk kkkk. kkkkk kk kk kkkkkk kk kkkk kkkkkk kkkk kkkk kkkkkk kk k kkkkk -- kkkk kkkk kkk kkkk kk kkk kkk kkkk kkkkkkk. kkk kkkkk kkkkkkkk kkk kkkk kkkkkk kkkkkkkk.,"
11,narrative,pro,1,2,f,It was heartbreaking to leave my newborn and physically exhausting to recover while working.,"kkkk kkkk kkkkk kkkkkkk kkkkk kkkkkk. kkkkkk kkkk kkk kkkkkk kkkkkk kkkk kkk kkkk kkkkk kkkkk kkk kkkkk kkkkk kkkkkk kkkkkk.,"
11,narrative,pro,1,2,m,It was heartbreaking for her to leave our newborn and physically exhausting for her to recover while working.,"kkkk kkkk kkkkk kkkkkkk kkkkk kkkkkk. kkkkkk kkkk kkk kkkkkk kkkkkk kkkk kkk kkkk kkkkk kkkkk kkk kkkkk kkkkk kkkkkk kkkkkk.,"
11,narrative,pro,1,3,f,Paid maternity leave would have given me time to heal and bond with my child without financial stress. #FamiliesFirst,"kk kkk kkkkk kkkk kkkkk kkk, kkkk, kk kkkkk kkkkkk kkkk kkkk kkkk kkkkk kkkk. kkkk kkkk kkk k kkkk kkkkkk kkkkk kk kkkk, kkk kkkkkk. #kkkkkkkkk #kkkkkkkkk"
11,narrative,pro,1,3,m,Paid maternity leave would have given her time to heal and bond with our child without financial stress. #FamiliesFirst,"kk kkk kkkkk kkkk kkkkk kkk, kkkk, kk kkkkk kkkkkk kkkk kkkk kkkk kkkkk kkkk. kkkk kkkk kkk k kkkk kkkkkk kkkkk kk kkkk, kkk kkkkkk. #kkkkkkkkk #kkkkkkkkk"
12,narrative,pro,2,1,f,"My sister had paid maternity leave, and I didn’t.","lll ll lllll lll lll,lll llllll llllll llll lll. lll? llll llll llllll llll. lllll ll ll llllll ll llll llllll llll llll llllll ll l lllll -- llll llll lll llll ll lll lll llll lllllll. lll lllll llllllll lll llll llllll llllllll.,"
12,narrative,pro,2,1,m,"My sister had paid maternity leave, and my wife didn’t.","lll ll lllll lll lll,lll llllll llllll llll lll. lll? llll llll llllll llll. lllll ll ll llllll ll llll llllll llll llll llllll ll l lllll -- llll llll lll llll ll lll lll llll lllllll. lll lllll llllllll lll llll llllll llllllll.,"
12,narrative,pro,2,2,f,"The difference was night and day—she had time to establish breastfeeding and bond with her baby, while I struggled with postpartum depression trying to juggle work and motherhood.","llll llll lllll lllllll lllll llllll. llllll llll lll llllll llllll llll lll llll lllll lllll lll lllll lllll llllll llllll.,"
12,narrative,pro,2,2,m,"The difference was night and day—she had time to establish breastfeeding and bond with her baby, while my wife struggled with postpartum depression trying to juggle work and motherhood.","llll llll lllll lllllll lllll llllll. llllll llll lll llllll llllll llll lll llll lllll lllll lll lllll lllll llllll llllll.,"
12,narrative,pro,2,3,f,Paid leave is an investment in the well-being of families and future generations. #StrongerTogether,"ll lll lllll llll lllll lll, llll, ll lllll llllll llll llll llll lllll llll. llll llll lll l llll llllll lllll ll llll, lll llllll. #lllllllll #lllllllll"
12,narrative,pro,2,3,m,Paid leave is an investment in the well-being of families and future generations. #StrongerTogether,"ll lll lllll llll lllll lll, llll, ll lllll llllll llll llll llll lllll llll. llll llll lll l llll llllll lllll ll llll, lll llllll. #lllllllll #lllllllll"
13,narrative,pro,3,1,f,"When my wife gave birth, her company’s paid leave allowed us both to enjoy those first precious weeks without worrying about money.","mmm mm mmmmm mmm mmm,mmm mmmmmm mmmmmm mmmm mmm. mmm? mmmm mmmm mmmmmm mmmm. mmmmm mm mm mmmmmm mm mmmm mmmmmm mmmm mmmm mmmmmm mm m mmmmm -- mmmm mmmm mmm mmmm mm mmm mmm mmmm mmmmmmm. mmm mmmmm mmmmmmmm mmm mmmm mmmmmm mmmmmmmm.,"
13,narrative,pro,3,1,m,"When my wife gave birth, her company’s paid leave allowed us both to enjoy those first precious weeks without worrying about money.","mmm mm mmmmm mmm mmm,mmm mmmmmm mmmmmm mmmm mmm. mmm? mmmm mmmm mmmmmm mmmm. mmmmm mm mm mmmmmm mm mmmm mmmmmm mmmm mmmm mmmmmm mm m mmmmm -- mmmm mmmm mmm mmmm mm mmm mmm mmmm mmmmmmm. mmm mmmmm mmmmmmmm mmm mmmm mmmmmm mmmmmmmm.,"
13,narrative,pro,3,2,f,It strengthened our family bond and let us focus entirely on our baby.,"mmmm mmmm mmmmm mmmmmmm mmmmm mmmmmm. mmmmmm mmmm mmm mmmmmm mmmmmm mmmm mmm mmmm mmmmm mmmmm mmm mmmmm mmmmm mmmmmm mmmmmm.,"
13,narrative,pro,3,2,m,It strengthened our family bond and let us focus entirely on our baby.,"mmmm mmmm mmmmm mmmmmmm mmmmm mmmmmm. mmmmmm mmmm mmm mmmmmm mmmmmm mmmm mmm mmmm mmmmm mmmmm mmm mmmmm mmmmm mmmmmm mmmmmm.,"
13,narrative,pro,3,3,f,Everyone deserves that kind of start to parenthood. #CareAndCareer,"mm mmm mmmmm mmmm mmmmm mmm, mmmm, mm mmmmm mmmmmm mmmm mmmm mmmm mmmmm mmmm. mmmm mmmm mmm m mmmm mmmmmm mmmmm mm mmmm, mmm mmmmmm. #mmmmmmmmm #mmmmmmmmm"
13,narrative,pro,3,3,m,Everyone deserves that kind of start to parenthood. #CareAndCareer,"mm mmm mmmmm mmmm mmmmm mmm, mmmm, mm mmmmm mmmmmm mmmm mmmm mmmm mmmmm mmmm. mmmm mmmm mmm m mmmm mmmmmm mmmmm mm mmmm, mmm mmmmmm. #mmmmmmmmm #mmmmmmmmm"
14,narrative,pro,4,1,f,"After my third child, I finally had access to paid maternity leave, and it changed everything.","nnn nn nnnnn nnn nnn,nnn nnnnnn nnnnnn nnnn nnn. nnn? nnnn nnnn nnnnnn nnnn. nnnnn nn nn nnnnnn nn nnnn nnnnnn nnnn nnnn nnnnnn nn n nnnnn -- nnnn nnnn nnn nnnn nn nnn nnn nnnn nnnnnnn. nnn nnnnn nnnnnnnn nnn nnnn nnnnnn nnnnnnnn.,"
14,narrative,pro,4,1,m,"After our third child, my partner finally had access to paid maternity leave, and it changed everything.","nnn nn nnnnn nnn nnn,nnn nnnnnn nnnnnn nnnn nnn. nnn? nnnn nnnn nnnnnn nnnn. nnnnn nn nn nnnnnn nn nnnn nnnnnn nnnn nnnn nnnnnn nn n nnnnn -- nnnn nnnn nnn nnnn nn nnn nnn nnnn nnnnnnn. nnn nnnnn nnnnnnnn nnn nnnn nnnnnn nnnnnnnn.,"
14,narrative,pro,4,2,f,"For the first time, I didn’t feel torn between my career and being the parent my child needed.","nnnn nnnn nnnnn nnnnnnn nnnnn nnnnnn. nnnnnn nnnn nnn nnnnnn nnnnnn nnnn nnn nnnn nnnnn nnnnn nnn nnnnn nnnnn nnnnnn nnnnnn.,"
