message,treatment,argument,profile,line,tweet,filler
7,narrative,pro,2,1,,"ggg gg ggggg ggg ggg,ggg gggggg gggggg gggg ggg. ggg? gggg gggg gggggg gggg. ggggg gg gg gggggg gg gggg gggggg gggg gggg gggggg gg g ggggg — gggg gggg ggg gggg gg ggg ggg gggg ggggggg. ggg ggggg gggggggg ggg gggg gggggg gggggggg.,"
7,narrative,pro,2,2,,"gggg gggg ggggg ggggggg ggggg gggggg. gggggg gggg ggg gggggg gggggg gggg ggg gggg ggggg ggggg ggg ggggg ggggg gggggg gggggg.,"
7,narrative,pro,2,3,,"gg ggg ggggg gggg ggggg ggg, gggg, gg ggggg gggggg gggg gggg gggg ggggg gggg. gggg gggg ggg g gggg gggggg ggggg gg gggg, ggg gggggg. #ggggggggg #ggggggggg"
8,narrative,pro,3,1,,"hhh hh hhhhh hhh hhh,hhh hhhhhh hhhhhh hhhh hhh. hhh? hhhh hhhh hhhhhh hhhh. hhhhh hh hh hhhhhh hh hhhh hhhhhh hhhh hhhh hhhhhh hh h hhhhh — hhhh hhhh hhh hhhh hh hhh hhh hhhh hhhhhhh. hhh hhhhh hhhhhhhh hhh hhhh hhhhhh hhhhhhhh.,"
8,narrative,pro,3,2,,"hhhh hhhh hhhhh hhhhhhh hhhhh hhhhhh. hhhhhh hhhh hhh hhhhhh hhhhhh hhhh hhh hhhh hhhhh hhhhh hhh hhhhh hhhhh hhhhhh hhhhhh.,"
8,narrative,pro,3,3,,"hh hhh hhhhh hhhh hhhhh hhh, hhhh, hh hhhhh hhhhhh hhhh hhhh hhhh hhhhh hhhh. hhhh hhhh hhh h hhhh hhhhhh hhhhh hh hhhh, hhh hhhhhh. #hhhhhhhhh #hhhhhhhhh"
9,narrative,pro,4,1,,"iii ii iiiii iii iii,iii iiiiii iiiiii iiii iii. iii? iiii iiii iiiiii iiii. iiiii ii ii iiiiii ii iiii iiiiii iiii iiii iiiiii ii i iiiii — iiii iiii iii iiii ii iii iii iiii iiiiiii. iii iiiii iiiiiiii iii iiii iiiiii iiiiiiii.,"
9,narrative,pro,4,2,,"iiii iiii iiiii iiiiiii iiiii iiiiii. iiiiii iiii iii iiiiii iiiiii iiii iii iiii iiiii iiiii iii iiiii iiiii iiiiii iiiiii.,"
9,narrative,pro,4,3,,"ii iii iiiii iiii iiiii iii, iiii, ii iiiii iiiiii iiii iiii iiii iiiii iiii. iiii iiii iii i iiii iiiiii iiiii ii iiii, iii iiiiii. #iiiiiiiii #iiiiiiiii"
10,narrative,pro,5,1,,"jjj jj jjjjj jjj jjj,jjj jjjjjj jjjjjj jjjj jjj. jjj? jjjj jjjj jjjjjj jjjj. jjjjj jj jj jjjjjj jj jjjj jjjjjj jjjj jjjj jjjjjj jj j jjjjj — jjjj jjjj jjj jjjj jj jjj jjj jjjj jjjjjjj. jjj jjjjj jjjjjjjj jjj jjjj jjjjjj jjjjjjjj.,"
10,narrative,pro,5,2,,"jjjj jjjj jjjjj jjjjjjj jjjjj jjjjjj. jjjjjj jjjj jjj jjjjjj jjjjjj jjjj jjj jjjj jjjjj jjjjj jjj jjjjj jjjjj jjjjjj jjjjjj.,"
10,narrative,pro,5,3,,"jj jjj jjjjj jjjj jjjjj jjj, jjjj, jj jjjjj jjjjjj jjjj jjjj jjjj jjjjj jjjj. jjjj jjjj jjj j jjjj jjjjjj jjjjj jj jjjj, jjj jjjjjj. #jjjjjjjjj #jjjjjjjjj"
11,both,pro,1,1,,"kkk kk kkkkk kkk kkk,kkk kkkkkk kkkkkk kkkk kkk. kkk? kkkk kkkk kkkkkk kkkk. kkkkk kk kk kkkkkk kk kkkk kkkkkk kkkk kkkk kkkkkk kk k kkkkk — kkkk kkkk kkk kkkk kk kkk kkk kkkk kkkkkkk. kkk kkkkk kkkkkkkk kkk kkkk kkkkkk kkkkkkkk.,"
11,both,pro,1,2,,"kkkk kkkk kkkkk kkkkkkk kkkkk kkkkkk. kkkkkk kkkk kkk kkkkkk kkkkkk kkkk kkk kkkk kkkkk kkkkk kkk kkkkk kkkkk kkkkkk kkkkkk.,"
11,both,pro,1,3,,"kk kkk kkkkk kkkk kkkkk kkk, kkkk, kk kkkkk kkkkkk kkkk kkkk kkkk kkkkk kkkk. kkkk kkkk kkk k kkkk kkkkkk kkkkk kk kkkk, kkk kkkkkk. #kkkkkkkkk #kkkkkkkkk"
12,both,pro,2,1,,"lll ll lllll lll lll,lll llllll llllll llll lll. lll? llll llll llllll llll. lllll ll ll llllll ll llll llllll llll llll llllll ll l lllll — llll llll lll llll ll lll lll llll lllllll. lll lllll llllllll lll llll llllll llllllll.,"
12,both,pro,2,2,,"llll llll lllll lllllll lllll llllll. llllll llll lll llllll llllll llll lll llll lllll lllll lll lllll lllll llllll llllll.,"
12,both,pro,2,3,,"ll lll lllll llll lllll lll, llll, ll lllll llllll llll llll llll lllll llll. llll llll lll l llll llllll lllll ll llll, lll llllll. #lllllllll #lllllllll"
13,both,pro,3,1,,"mmm mm mmmmm mmm mmm,mmm mmmmmm mmmmmm mmmm mmm. mmm? mmmm mmmm mmmmmm mmmm. mmmmm mm mm mmmmmm mm mmmm mmmmmm mmmm mmmm mmmmmm mm m mmmmm — mmmm mmmm mmm mmmm mm mmm mmm mmmm mmmmmmm. mmm mmmmm mmmmmmmm mmm mmmm mmmmmm mmmmmmmm.,"
13,both,pro,3,2,,"mmmm mmmm mmmmm mmmmmmm mmmmm mmmmmm. mmmmmm mmmm mmm mmmmmm mmmmmm mmmm mmm mmmm mmmmm mmmmm mmm mmmmm mmmmm mmmmmm mmmmmm.,"
13,both,pro,3,3,,"mm mmm mmmmm mmmm mmmmm mmm, mmmm, mm mmmmm mmmmmm mmmm mmmm mmmm mmmmm mmmm. mmmm mmmm mmm m mmmm mmmmmm mmmmm mm mmmm, mmm mmmmmm. #mmmmmmmmm #mmmmmmmmm"
14,both,pro,4,1,,"nnn nn nnnnn nnn nnn,nnn nnnnnn nnnnnn nnnn nnn. nnn? nnnn nnnn nnnnnn nnnn. nnnnn nn nn nnnnnn nn nnnn nnnnnn nnnn nnnn nnnnnn nn n nnnnn — nnnn nnnn nnn nnnn nn nnn nnn nnnn nnnnnnn. nnn nnnnn nnnnnnnn nnn nnnn nnnnnn nnnnnnnn.,"
14,both,pro,4,2,,"nnnn nnnn nnnnn nnnnnnn nnnnn nnnnnn. nnnnnn nnnn nnn nnnnnn nnnnnn nnnn nnn nnnn nnnnn nnnnn nnn nnnnn nnnnn nnnnnn nnnnnn.,"
14,both,pro,4,3,,"nn nnn nnnnn nnnn nnnnn nnn, nnnn, nn nnnnn nnnnnn nnnn nnnn nnnn nnnnn nnnn. nnnn nnnn nnn n nnnn nnnnnn nnnnn nn nnnn, nnn nnnnnn. #nnnnnnnnn #nnnnnnnnn"
15,both,pro,5,1,,"ooo oo ooooo ooo ooo,ooo oooooo oooooo oooo ooo. ooo? oooo oooo oooooo oooo. ooooo oo oo oooooo oo oooo oooooo oooo oooo oooooo oo o ooooo — oooo oooo ooo oooo oo ooo ooo oooo ooooooo. ooo ooooo oooooooo ooo oooo oooooo oooooooo.,"
15,both,pro,5,2,,"oooo oooo ooooo ooooooo ooooo oooooo. oooooo oooo ooo oooooo oooooo oooo ooo oooo ooooo ooooo ooo ooooo ooooo oooooo oooooo.,"
15,both,pro,5,3,,"oo ooo ooooo oooo ooooo ooo, oooo, oo ooooo oooooo oooo oooo oooo ooooo oooo. oooo oooo ooo o oooo oooooo ooooo oo oooo, ooo oooooo. #ooooooooo #ooooooooo"
